NOME_MUN,REGIAO,N_MICRO,PIB
SAO LUIZ DO NORTE,CENTRO-OESTE,CERES,58652
MOSSAMEDES,CENTRO-OESTE,ANICUNS,58745
CASTELANDIA,CENTRO-OESTE,SUDOESTE DE GOIAS,59860
GOIANDIRA,CENTRO-OESTE,CATALAO,60260
NOVA GLORIA,CENTRO-OESTE,CERES,60553
SANTA RITA DO ARAGUAIA,CENTRO-OESTE,SUDOESTE DE GOIAS,61890
ALVORADA DO NORTE,CENTRO-OESTE,VAO DO PARANA,64527
ITAJA,CENTRO-OESTE,QUIRINOPOLIS,65623
SANTA CRUZ DE GOIAS,CENTRO-OESTE,PIRES DO RIO,66048
TURVANIA,CENTRO-OESTE,ANICUNS,66111
MUNDO NOVO,CENTRO-OESTE,SAO MIGUEL DO ARAGUAIA,66113
ITAGUARU,CENTRO-OESTE,ANAPOLIS,66601
FAZENDA NOVA,CENTRO-OESTE,IPORA,66905
EDEALINA,CENTRO-OESTE,VALE DO RIO DOS BOIS,67434
GOIANAPOLIS,CENTRO-OESTE,GOIANIA,67572
ITAUCU,CENTRO-OESTE,ANAPOLIS,68622
FAINA,CENTRO-OESTE,RIO VERMELHO,69383
ARAGUAPAZ,CENTRO-OESTE,RIO VERMELHO,71140
AMERICANO DO BRASIL,CENTRO-OESTE,ANICUNS,71599
SANTA TEREZINHA DE GOIAS,CENTRO-OESTE,PORANGATU,72407
SANTO ANTONIO DA BARRA,CENTRO-OESTE,SUDOESTE DE GOIAS,72817
VILA BOA,CENTRO-OESTE,ENTORNO DE BRASILIA,73043
CORUMBA DE GOIAS,CENTRO-OESTE,ENTORNO DE BRASILIA,73857
FIRMINOPOLIS,CENTRO-OESTE,ANICUNS,76076
RIANAPOLIS,CENTRO-OESTE,CERES,77565
APORE,CENTRO-OESTE,SUDOESTE DE GOIAS,77905
INACIOLANDIA,CENTRO-OESTE,MEIA PONTE,81881
BOM JARDIM DE GOIAS,CENTRO-OESTE,ARAGARCAS,82629
JOVIANIA,CENTRO-OESTE,MEIA PONTE,84545
NOVA VENEZA,CENTRO-OESTE,ANAPOLIS,85803
ARUANA,CENTRO-OESTE,RIO VERMELHO,86020
IACIARA,CENTRO-OESTE,VAO DO PARANA,86693
SAO DOMINGOS,CENTRO-OESTE,VAO DO PARANA,86883
PETROLINA DE GOIAS,CENTRO-OESTE,ANAPOLIS,88265
SANCLERLANDIA,CENTRO-OESTE,ANICUNS,92196
GOUVELANDIA,CENTRO-OESTE,QUIRINOPOLIS,92731
PARANAIGUARA,CENTRO-OESTE,QUIRINOPOLIS,93373
CAMPINORTE,CENTRO-OESTE,PORANGATU,97358
MARA ROSA,CENTRO-OESTE,PORANGATU,98342
GUAPO,CENTRO-OESTE,GOIANIA,98474
MAURILANDIA,CENTRO-OESTE,SUDOESTE DE GOIAS,99218
ITAPIRAPUA,CENTRO-OESTE,RIO VERMELHO,100246
FLORES DE GOIAS,CENTRO-OESTE,VAO DO PARANA,100698
LEOPOLDO DE BULHOES,CENTRO-OESTE,GOIANIA,101296
ARAGARCAS,CENTRO-OESTE,ARAGARCAS,102341
VILA PROPICIO,CENTRO-OESTE,ENTORNO DE BRASILIA,108116
ABADIANIA,CENTRO-OESTE,ENTORNO DE BRASILIA,109756
PORTELANDIA,CENTRO-OESTE,SUDOESTE DE GOIAS,111919
DOVERLANDIA,CENTRO-OESTE,SUDOESTE DE GOIAS,114210
VICENTINOPOLIS,CENTRO-OESTE,MEIA PONTE,114265
ITARUMA,CENTRO-OESTE,QUIRINOPOLIS,114576
